minimum_rate,guests_max,min_stay,extra,property_type,property_bedrooms,area_name,booking_guest_number,hari,harga,minggu,bulan
400000.0,2.0,1.0,0.0,2.0,2.0,2,2,2,469669.09,53,3
625000.0,2.0,1.0,0.0,4.0,5.0,1,2,5,668173.948,53,3
800000.0,5.0,1.0,0.0,4.0,4.0,4,4,3,2333792.45,53,3
1950000.0,6.0,2.0,0.0,2.0,3.0,24,7,1,2730526.19,53,3
310000.0,2.0,1.0,0.0,4.0,4.0,24,1,1,390144.13,53,3
310000.0,2.0,1.0,0.0,4.0,4.0,24,2,1,440677.87,53,3
362500.0,2.0,1.0,0.0,4.0,5.0,24,1,2,570113.57,53,3
400000.0,2.0,1.0,0.0,2.0,1.0,23,2,2,970200.22,53,3
2250000.0,9.0,1.0,1.0,2.0,4.0,26,8,2,5226067.12,53,3
1416666.6666666667,8.0,1.0,0.0,2.0,3.0,26,6,1,2660624.81,53,3
1159285.7142857143,5.0,1.0,0.0,4.0,6.0,14,14,1,5917801.08,53,3
320000.0,2.0,2.0,0.0,4.0,2.0,24,2,1,470161.23,53,3
780000.0,5.0,2.0,0.0,4.0,6.0,24,2,3,450073.79,53,3
1312500.0,4.0,1.0,0.0,4.0,13.0,1,2,3,747152.1533,53,3
550000.0,2.0,1.0,0.0,4.0,17.0,24,2,2,640132.805,53,3
550000.0,2.0,1.0,0.0,4.0,17.0,24,2,8,636628.3113,53,3
1180000.0,4.0,1.0,0.0,2.0,4.0,1,7,5,5635122.58,53,3
1312500.0,4.0,1.0,0.0,4.0,13.0,1,2,4,742806.0,53,3
5500000.0,8.0,2.0,1.0,2.0,3.0,12,5,3,7295909.46,53,3
575000.0,5.0,1.0,0.0,4.0,4.0,13,7,1,1590349.59,1,5
642500.0,4.0,1.0,0.0,4.0,3.0,7,2,1,920133.32,1,5
450000.0,2.0,1.0,0.0,3.0,1.0,3,2,1,800132.91,1,5
550000.0,2.0,1.0,0.0,2.0,2.0,13,2,4,710113.6575,1,5
550000.0,2.0,1.0,0.0,2.0,2.0,13,2,4,710124.015,1,5
1000000.0,9.0,1.0,1.0,2.0,3.0,19,4,2,1750313.05,1,5
475000.0,2.0,1.0,0.0,4.0,6.0,1,2,2,770185.605,1,5
642500.0,4.0,1.0,0.0,4.0,3.0,7,2,1,541888.92,1,5
310000.0,2.0,1.0,0.0,4.0,4.0,24,2,1,371295.0,1,5
310000.0,2.0,1.0,0.0,4.0,4.0,24,2,1,381329.61,1,5
524000.0,4.0,1.0,0.0,5.0,13.0,13,1,4,487133.115,1,5
1416666.6666666667,8.0,1.0,0.0,2.0,3.0,26,2,1,1806297.51,1,5
1159285.7142857143,5.0,1.0,0.0,4.0,6.0,14,2,1,895877.58,1,5
300000.0,2.0,2.0,0.0,4.0,6.0,2,2,2,746564.28,1,5
360000.0,2.0,1.0,0.0,4.0,5.0,24,2,2,593518.425,1,5
1159285.7142857143,5.0,1.0,0.0,4.0,6.0,14,2,1,866760.21,1,5
320000.0,2.0,2.0,0.0,4.0,2.0,24,2,1,676795.64,1,5
675000.0,2.0,1.0,0.0,4.0,4.0,24,2,1,931686.3,1,5
625000.0,2.0,1.0,0.0,4.0,5.0,1,2,3,649296.5133,1,5
310000.0,2.0,1.0,0.0,4.0,4.0,24,2,12,328396.4825,1,5
320000.0,2.0,2.0,0.0,4.0,2.0,24,1,2,420094.305,1,5
350000.0,2.0,2.0,0.0,4.0,7.0,2,2,2,500097.57,1,5
320000.0,2.0,2.0,0.0,4.0,2.0,24,1,9,447867.9344,1,5
700000.0,2.0,1.0,0.0,2.0,1.0,1,2,1,760161.11,1,5
362500.0,2.0,1.0,0.0,4.0,5.0,24,2,2,480090.62,1,5
960000.0,3.0,1.0,0.0,4.0,4.0,13,2,3,630484.9633,1,5
1200000.0,4.0,1.0,0.0,2.0,3.0,2,6,1,1440287.0,1,5
480000.0,6.0,1.0,0.0,4.0,4.0,13,4,2,2083747.255,1,5
480000.0,6.0,1.0,0.0,4.0,4.0,13,1,2,175527.14,1,5
700000.0,2.0,1.0,0.0,4.0,5.0,13,1,5,200052.76,1,5
1159285.7142857143,5.0,1.0,0.0,4.0,6.0,14,2,1,690095.42,1,5
1159285.7142857143,5.0,1.0,0.0,4.0,6.0,14,2,1,627116.93,1,5
1159285.7142857143,5.0,1.0,0.0,4.0,6.0,14,2,1,589170.47,1,5
1159285.7142857143,5.0,1.0,0.0,4.0,6.0,14,4,1,1070165.09,1,5
1900000.0,15.0,1.0,0.0,2.0,10.0,4,7,2,2520487.1,1,5
882500.0,3.0,1.0,0.0,2.0,6.0,2,1,1,1197171.76,1,5
850000.0,4.0,1.0,0.0,2.0,2.0,4,3,2,1501833.215,1,5
675000.0,2.0,1.0,0.0,4.0,4.0,24,2,2,1330248.005,1,5
1312500.0,4.0,1.0,0.0,4.0,13.0,1,2,1,730197.73,1,5
1312500.0,4.0,1.0,0.0,4.0,13.0,1,3,2,1463699.855,1,5
1000000.0,6.0,2.0,0.0,2.0,3.0,8,6,1,1304548.14,1,5
950000.0,9.0,1.0,1.0,4.0,4.0,13,2,3,406504.34,1,5
1562500.0,6.0,1.0,0.0,4.0,7.0,1,1,1,645031.68,1,5
1180000.0,4.0,1.0,0.0,2.0,4.0,1,1,5,922190.564,1,5
600000.0,2.0,1.0,0.0,2.0,1.0,16,2,10,814166.264,1,5
524000.0,4.0,1.0,0.0,5.0,13.0,13,6,1,1083530.56,1,5
575000.0,5.0,1.0,0.0,4.0,4.0,13,6,2,1068966.735,1,5
524000.0,4.0,1.0,0.0,5.0,13.0,13,2,1,437082.38,1,5
530000.0,3.0,1.0,0.0,4.0,4.0,13,8,2,1187737.205,1,5
1102500.0,7.0,1.0,0.0,4.0,6.0,13,4,2,1558626.795,1,5
882500.0,3.0,1.0,0.0,2.0,6.0,2,1,5,1505287.974,1,5
524000.0,4.0,1.0,0.0,5.0,13.0,13,2,1,369060.44,1,5
642500.0,4.0,1.0,0.0,4.0,3.0,7,1,1,490036.37,1,5
950000.0,4.0,1.0,0.0,2.0,2.0,12,4,2,1651825.925,1,5
475000.0,2.0,1.0,0.0,4.0,6.0,1,1,20,847969.5295,1,5
450000.0,2.0,1.0,0.0,3.0,1.0,3,1,1,800177.34,1,5
1102500.0,7.0,1.0,0.0,4.0,6.0,13,1,2,360038.165,1,5
2250000.0,6.0,1.0,0.0,2.0,4.0,25,4,7,2359894.611,1,5
642500.0,4.0,1.0,0.0,4.0,3.0,7,1,1,923218.53,1,5
524000.0,4.0,1.0,0.0,5.0,13.0,13,2,1,413223.42,1,5
362500.0,2.0,1.0,0.0,4.0,5.0,24,2,1,967547.52,1,5
1150000.0,5.0,1.0,0.0,2.0,-1.0,5,2,1,3973855.41,1,5
960000.0,3.0,1.0,0.0,4.0,4.0,13,2,2,769711.89,1,5
1900000.0,15.0,1.0,0.0,2.0,10.0,4,7,3,2727946.11,1,5
780000.0,5.0,2.0,0.0,4.0,6.0,24,2,5,441219.414,1,5
1562500.0,6.0,1.0,0.0,4.0,7.0,1,2,6,711102.51,1,5
1102500.0,7.0,1.0,0.0,4.0,6.0,13,3,2,1069453.32,1,5
400000.0,2.0,1.0,0.0,4.0,4.0,24,2,1,443459.28,1,5
675000.0,2.0,1.0,0.0,4.0,4.0,24,1,3,363586.5,1,5
675000.0,2.0,1.0,0.0,4.0,4.0,24,1,3,363586.5,1,5
475000.0,2.0,1.0,0.0,4.0,6.0,1,1,7,785492.2714,1,5
475000.0,2.0,1.0,0.0,4.0,6.0,1,2,2,695424.89,1,5
1300000.0,6.0,1.0,0.0,2.0,4.0,10,8,1,1400262.11,1,5
400000.0,2.0,1.0,0.0,2.0,2.0,2,1,5,539117.318,1,5
400000.0,2.0,1.0,0.0,2.0,2.0,2,2,2,550125.64,1,5
450000.0,2.0,1.0,0.0,2.0,1.0,23,1,31,518055.5835,1,5
1950000.0,6.0,2.0,0.0,2.0,3.0,24,6,3,2393826.777,1,5
310000.0,2.0,1.0,0.0,4.0,4.0,24,2,2,380089.58,1,5
310000.0,2.0,1.0,0.0,4.0,4.0,24,2,1,380136.73,1,5
340000.0,2.0,1.0,0.0,4.0,6.0,24,2,2,425068.865,1,5
350000.0,2.0,2.0,0.0,4.0,7.0,2,2,3,476778.2067,1,5
320000.0,2.0,2.0,0.0,4.0,2.0,24,1,5,440085.738,1,5
700000.0,2.0,1.0,0.0,2.0,1.0,1,2,2,710168.255,1,5
305000.0,2.0,1.0,0.0,4.0,8.0,2,1,1,440099.54,1,5
305000.0,2.0,1.0,0.0,4.0,8.0,2,2,3,436752.2967,1,5
340000.0,2.0,1.0,0.0,4.0,10.0,2,2,1,440069.2,1,5
1200000.0,4.0,1.0,0.0,2.0,3.0,2,5,4,1574944.05,1,5
1416666.6666666667,8.0,1.0,0.0,2.0,3.0,26,5,3,2122081.82,1,5
1041666.6666666666,4.0,1.0,0.0,4.0,4.0,2,2,2,670134.145,1,5
1041666.6666666666,4.0,1.0,0.0,4.0,4.0,2,2,1,600140.82,1,5
700000.0,2.0,1.0,0.0,4.0,5.0,13,2,1,220042.74,1,5
1159285.7142857143,5.0,1.0,0.0,4.0,6.0,14,12,4,5001009.713,1,5
616666.6666666666,2.0,2.0,0.0,4.0,7.0,1,2,4,1477799.493,1,5
616666.6666666666,2.0,2.0,0.0,4.0,7.0,1,8,5,2300453.396,1,5
882500.0,3.0,1.0,0.0,2.0,6.0,2,1,4,1575312.733,1,5
400000.0,2.0,1.0,0.0,4.0,4.0,24,2,1,418033.48,1,5
550000.0,2.0,1.0,0.0,4.0,17.0,24,2,3,533935.8967,1,5
550000.0,2.0,1.0,0.0,4.0,17.0,24,2,2,403841.74,1,5
550000.0,2.0,1.0,0.0,4.0,17.0,24,2,2,520113.955,1,5
550000.0,2.0,1.0,0.0,4.0,17.0,24,2,2,503576.565,1,5
1312500.0,4.0,1.0,0.0,4.0,13.0,1,2,2,650153.785,1,5
1312500.0,4.0,1.0,0.0,4.0,13.0,1,1,3,825181.8633,1,5
400000.0,2.0,1.0,0.0,4.0,4.0,24,2,1,420000.0,1,5
1562500.0,6.0,1.0,0.0,4.0,7.0,1,1,3,661829.01,1,5
900000.0,4.0,2.0,0.0,2.0,2.0,26,2,48,708333.3333,1,5
1150000.0,5.0,1.0,0.0,2.0,-1.0,5,2,2,3202128.34,1,5
616666.6666666666,2.0,2.0,0.0,4.0,7.0,1,2,2,1570312.165,1,5
778333.3333333334,5.0,1.0,0.0,4.0,9.0,2,2,3,475118.7867,1,5
642500.0,4.0,1.0,0.0,4.0,3.0,7,2,1,600155.74,1,5
450000.0,2.0,1.0,0.0,3.0,1.0,3,1,1,800205.88,1,5
524000.0,4.0,1.0,0.0,5.0,13.0,13,2,2,408607.57,1,5
1000000.0,9.0,1.0,1.0,2.0,3.0,19,6,3,1586801.447,1,5
778333.3333333334,5.0,1.0,0.0,4.0,9.0,2,2,5,456091.264,1,5
475000.0,2.0,1.0,0.0,4.0,6.0,1,2,4,598604.9275,1,5
642500.0,4.0,1.0,0.0,4.0,3.0,7,2,2,863008.65,1,5
642500.0,4.0,1.0,0.0,4.0,3.0,7,2,1,491714.76,1,5
642500.0,4.0,1.0,0.0,4.0,3.0,7,2,1,491714.76,1,5
362500.0,2.0,1.0,0.0,4.0,5.0,24,6,7,1677849.881,1,5
360000.0,2.0,1.0,0.0,4.0,5.0,24,2,1,571121.43,1,5
1900000.0,15.0,1.0,0.0,2.0,10.0,4,7,2,3003600.6,1,5
1312500.0,4.0,1.0,0.0,4.0,13.0,1,2,2,823257.48,1,5
320000.0,2.0,2.0,0.0,4.0,2.0,24,2,3,479675.59,1,5
1562500.0,6.0,1.0,0.0,4.0,7.0,1,2,2,614795.71,1,5
400000.0,2.0,1.0,0.0,4.0,4.0,24,5,3,932272.2567,1,5
400000.0,2.0,1.0,0.0,4.0,4.0,24,2,7,470335.5471,1,5
505000.0,4.0,1.0,1.0,4.0,6.0,10,2,4,421668.25,1,5
